Year,Model,ExAnte_Return_pct,ExAnte_Sharpe,ExPost_Return_pct,ExPost_Sharpe,Alpha_pct
2011,MMV,25.32,0.7216,-1.81,-0.8170,11.30
2011,CAPM,3.01,-0.0323,13.20,2.9682,26.31
2011,VE,25.20,1.1005,-3.65,-1.5247,9.46
2011,OB,21.20,0.5713,2.49,0.6779,15.60
2012,MMV,13.32,0.3224,81.72,2.4701,86.37
2012,CAPM,-6.83,-0.2114,-56.61,-0.9050,-51.96
2012,VE,13.68,0.3692,73.91,2.1181,78.57
2012,OB,13.05,0.3172,87.56,2.6759,92.21
2013,MMV,21.64,0.6128,17.92,0.7098,-3.50
2013,CAPM,-9.53,-0.2414,129.56,2.0115,108.14
2013,VE,22.40,0.7206,14.94,0.5644,-6.47
2013,OB,11.74,0.2397,22.30,1.0052,0.89
2014,MMV,30.90,1.3767,14.96,0.7969,11.31
2014,CAPM,4.93,0.0042,5.92,0.2565,2.26
2014,VE,32.49,1.6346,10.85,0.5212,7.19
2014,OB,30.91,1.2825,3.16,0.1074,-0.50
2015,MMV,28.32,1.2143,10.87,1.0351,18.02
2015,CAPM,-0.18,-0.0901,-45.47,-0.6017,-38.32
2015,VE,30.67,1.3114,7.71,0.9886,14.87
2015,OB,27.15,1.1949,12.81,1.0723,19.96
2016,MMV,28.65,1.2349,-3.59,-0.1560,-1.57
2016,CAPM,2.25,-0.0148,-6.99,0.0454,-4.98
2016,VE,28.85,1.5047,-2.02,-0.0441,-0.01
2016,OB,20.75,0.8244,-1.84,-0.0677,0.17
2017,MMV,29.06,1.2865,20.54,3.0554,13.14
2017,CAPM,4.33,0.0474,9.78,1.3833,2.39
2017,VE,33.06,1.6791,15.16,2.2935,7.76
2017,OB,28.23,1.1762,18.45,2.8733,11.05
2018,MMV,31.76,1.4571,12.82,1.3147,27.79
2018,CAPM,6.07,0.1848,-6.10,-0.7884,8.88
2018,VE,37.57,1.8059,2.45,0.2329,17.42
2018,OB,32.15,1.2938,7.78,0.8732,22.75
2019,MMV,23.64,1.0764,13.43,0.7774,1.61
2019,CAPM,-1.77,-0.0824,-11.59,-0.0865,-23.41
2019,VE,25.22,1.1550,10.09,0.6058,-1.73
2019,OB,19.29,0.8623,15.30,0.8921,3.49
2020,MMV,21.10,1.2235,8.47,0.3976,23.92
2020,CAPM,0.08,-0.0322,-10.61,0.0352,4.84
2020,VE,22.20,1.3274,33.67,1.0061,49.12
2020,OB,19.89,1.0720,8.02,0.3886,23.47
2021,MMV,53.67,1.6391,-18.37,-1.8535,-26.30
2021,CAPM,-0.68,-0.0276,29.29,2.0740,21.36
2021,VE,65.66,2.6272,-17.44,-1.2974,-25.37
2021,OB,36.35,1.3078,-2.63,-0.2551,-10.55
2022,MMV,46.89,2.0969,-41.19,-1.6948,-35.63
2022,CAPM,0.62,-0.0040,15.27,0.4879,20.84
2022,VE,52.31,2.8202,-33.33,-1.2239,-27.76
2022,OB,42.39,1.6942,-23.48,-0.9179,-17.91
2023,MMV,36.92,1.2107,16.53,0.6778,-6.24
2023,CAPM,-1.57,-0.0439,7.54,0.2772,-15.22
2023,VE,55.98,1.8466,6.03,0.2252,-16.73
2023,OB,31.62,1.1783,13.86,0.5909,-8.90
