Year,Model,ExAnte_Return_pct,ExAnte_Sharpe,ExPost_Return_pct,ExPost_Sharpe,Alpha_pct
2011,MMV,14.11,0.4153,4.26,1.5019,17.37
2011,CAPM,2.21,-0.0755,10.22,3.3298,23.33
2011,VE,17.44,0.6814,3.85,1.2846,16.96
2011,OB,21.03,2.1555,7.92,2.2099,21.03
2012,MMV,4.65,0.0070,12.88,0.3938,17.54
2012,CAPM,-3.77,-0.3135,-4.70,-0.2993,-0.05
2012,VE,12.36,0.5681,10.04,0.2745,14.70
2012,OB,4.80,0.1638,0.14,-0.1138,4.80
2013,MMV,4.29,-0.0178,21.60,1.0158,0.18
2013,CAPM,-6.13,-0.3651,40.27,1.5836,18.86
2013,VE,15.66,0.7846,22.13,1.0386,0.71
2013,OB,10.32,1.7086,31.74,1.3577,10.32
2014,MMV,22.38,0.9186,8.82,0.4460,5.17
2014,CAPM,4.92,0.0042,6.54,0.2891,2.89
2014,VE,28.45,1.6346,5.24,0.2238,1.59
2014,OB,0.25,-0.2422,3.91,0.1511,0.25
2015,MMV,17.66,0.6815,4.56,0.3694,11.71
2015,CAPM,0.69,-0.1534,-2.94,-0.1695,4.21
2015,VE,25.29,1.4184,2.69,0.2080,9.85
2015,OB,7.92,-0.1006,0.77,0.0613,7.92
2016,MMV,21.09,0.8729,-3.98,-0.1648,-1.97
2016,CAPM,2.43,-0.0682,4.37,0.2397,6.38
2016,VE,20.51,1.0997,0.19,0.0403,2.20
2016,OB,7.80,0.0145,5.78,0.2981,7.80
2017,MMV,22.37,1.0191,11.58,2.2145,4.19
2017,CAPM,4.26,0.0472,10.18,1.5303,2.78
2017,VE,22.18,1.3037,11.65,2.1647,4.26
2017,OB,2.59,1.0700,9.99,1.5767,2.59
2018,MMV,21.28,1.0943,3.12,0.3799,18.09
2018,CAPM,5.92,0.1843,-4.25,-0.5910,10.73
2018,VE,21.40,1.2906,1.95,0.2090,16.92
2018,OB,11.60,-1.2176,-3.38,-0.5474,11.60
2019,MMV,14.62,0.7810,15.60,1.2275,3.78
2019,CAPM,-0.70,-0.1302,6.16,0.3882,-5.66
2019,VE,15.12,0.8857,13.37,0.9945,1.55
2019,OB,-1.81,0.3618,10.01,0.7314,-1.81
2020,MMV,15.72,0.9497,1.04,0.1763,16.49
2020,CAPM,0.42,-0.0561,-2.10,0.0908,13.35
2020,VE,15.90,1.0530,1.92,0.2109,17.37
2020,OB,4.06,-0.6046,-11.40,-0.1466,4.06
2021,MMV,23.24,1.0751,-0.64,-0.0567,-8.57
2021,CAPM,-0.36,-0.0740,0.84,0.2795,-7.08
2021,VE,24.32,1.5013,0.40,0.1740,-7.53
2021,OB,-1.43,1.1456,6.50,1.5990,-1.43
2022,MMV,27.22,1.4635,-21.14,-1.0341,-15.58
2022,CAPM,0.64,-0.0121,-15.18,-0.7455,-9.61
2022,VE,27.63,1.7781,-17.84,-0.8668,-12.28
2022,OB,-3.33,-1.1337,-8.90,-0.4487,-3.33
2023,MMV,16.82,0.8237,10.96,0.5888,-11.81
2023,CAPM,-0.91,-0.1040,16.84,0.8870,-5.92
2023,VE,17.17,1.0143,13.99,0.7997,-8.77
2023,OB,-5.40,0.6254,17.36,0.9614,-5.40
