Year,Model,ExAnte_Return_pct,ExAnte_Sharpe,ExPost_Return_pct,ExPost_Sharpe,Alpha_pct
2011,MMV,20.62,0.6249,4.26,1.5019,15.18
2011,CAPM,2.20,-0.0748,10.22,3.3298,23.10
2011,VE,20.36,0.9639,3.85,1.2846,13.56
2011,OB,5.53,0.0544,7.92,2.2099,21.03
2012,MMV,9.17,0.1857,12.88,0.3938,48.83
2012,CAPM,-3.26,-0.2885,-4.70,-0.2993,3.91
2012,VE,8.92,0.2313,10.04,0.2745,45.06
2012,OB,-2.50,-0.2602,0.14,-0.1138,-0.59
2013,MMV,13.13,0.3249,21.60,1.0158,1.71
2013,CAPM,-5.03,-0.3349,40.27,1.5836,30.37
2013,VE,13.56,0.4699,22.13,1.0386,2.54
2013,OB,-4.98,-0.3324,31.74,1.3577,3.50
2014,MMV,28.32,1.2446,8.82,0.4460,9.33
2014,CAPM,4.92,0.0042,6.54,0.2891,2.22
2014,VE,28.35,1.4784,5.24,0.2238,4.55
2014,OB,14.37,0.4113,3.91,0.1511,0.25
2015,MMV,24.71,1.0998,4.56,0.3694,16.90
2015,CAPM,0.47,-0.1388,-2.94,-0.1695,-0.94
2015,VE,23.33,1.1396,2.69,0.2080,13.73
2015,OB,7.73,0.1357,0.77,0.0613,5.11
2016,MMV,24.22,1.0820,-3.98,-0.1648,1.02
2016,CAPM,2.62,-0.0410,4.37,0.2397,4.83
2016,VE,26.28,1.4240,0.19,0.0403,4.43
2016,OB,10.13,0.2741,5.78,0.2981,6.14
2017,MMV,26.34,1.2282,11.58,2.2145,7.05
2017,CAPM,4.39,0.0516,10.18,1.5303,2.80
2017,VE,28.96,1.5850,11.65,2.1647,5.40
2017,OB,14.36,0.4644,9.99,1.5767,3.11
2018,MMV,28.58,1.3668,3.12,0.3799,22.09
2018,CAPM,6.46,0.1988,-4.25,-0.5910,9.78
2018,VE,29.62,1.5525,1.95,0.2090,16.67
2018,OB,17.30,0.7238,-3.38,-0.5474,11.60
2019,MMV,18.54,0.9087,15.60,1.2275,4.10
2019,CAPM,-0.72,-0.1289,6.16,0.3882,-9.78
2019,VE,19.57,1.0759,13.37,0.9945,2.64
2019,OB,8.76,0.4105,10.01,0.7314,0.44
2020,MMV,18.51,1.0808,1.04,0.1763,20.99
2020,CAPM,0.57,-0.0486,-2.10,0.0908,18.19
2020,VE,18.75,1.1638,1.92,0.2109,39.68
2020,OB,7.40,0.3570,-11.40,-0.1466,7.65
2021,MMV,42.28,1.4625,-0.64,-0.0567,-17.21
2021,CAPM,-0.47,-0.0870,0.84,0.2795,-8.25
2021,VE,43.76,2.1813,0.40,0.1740,-13.75
2021,OB,13.87,0.4803,6.50,1.5990,-0.83
2022,MMV,39.34,1.9342,-21.14,-1.0341,-27.41
2022,CAPM,0.69,0.0013,-15.18,-0.7455,-3.54
2022,VE,40.46,2.3119,-17.84,-0.8668,-20.40
2022,OB,16.72,0.7308,-8.90,-0.4487,-8.37
2023,MMV,26.44,1.0098,10.96,0.5888,-7.03
2023,CAPM,-0.97,-0.1107,16.84,0.8870,-3.73
2023,VE,27.35,1.2352,13.99,0.7997,-12.57
2023,OB,10.04,0.3438,17.36,0.9614,-5.40
