ticker,date_in,date_out,notes
A3M.MC,2005-07-08,2007-07-02,
ABE.MC,2005-01-03,2017-12-18,
ABE.MC,2018-07-02,2018-07-02,
ABG.MC,2008-01-02,2012-07-02,
ABG.P.MC,2012-10-26,2013-04-23,
ABG.P.MC,2014-06-23,2015-07-20,
ACS.MC,2005-01-03,,
ACX.MC,2005-01-03,2013-10-01,
ACX.MC,2015-06-22,,
AENA.MC,2015-06-22,,
AGS.MC,2007-01-02,2008-01-02,
ALM.MC,2020-06-22,2022-06-13,
ALT.MC,2005-01-03,2008-01-02,
AMS.MC,2005-01-03,2005-01-03,
AMS.MC,2011-01-03,,
ANA.MC,2005-01-03,2014-12-22,
ANA.MC,2015-07-20,,
ANE.MC,2022-06-20,,
BBVA.MC,2005-01-03,,
BKIA.MC,2011-10-03,2012-10-26,
BKIA.MC,2013-12-23,2020-12-21,
BKT.MC,2005-01-03,,
BME.MC,2007-07-02,2014-12-22,
BTO.MC,2005-01-03,2005-06-28,
BTO.MC,2006-08-01,2010-07-26,
CABK.MC,2011-07-01,,
CAR.MC,2007-03-21,2007-03-21,
CIE.MC,2018-06-18,2018-06-18,
CIE.MC,2018-12-24,2022-06-13,
CIN.MC,2005-07-01,2009-07-01,
CLNX.MC,2016-06-21,,
COL.MC,2007-05-10,2008-02-04,
COL.MC,2017-06-16,,
CRI.MC,2008-02-04,2011-04-01,
DIA.MC,2012-01-02,2018-07-02,
EBRO.MC,2010-07-26,2012-01-02,
EBRO.MC,2013-07-01,2013-12-23,
ELE.MC,2005-01-03,2013-10-01,
ELE.MC,2014-12-22,,
ENC.MC,2018-12-24,2020-09-14,
ENG.MC,2005-01-03,,
EVA.MC,2010-01-04,2010-07-01,
FAD.MC,2006-07-03,2007-01-02,
FCC.MC,2005-01-03,2016-06-21,
FDR.MC,2021-03-29,,
FER.MC,2005-01-03,,
GAM.MC,2005-01-03,2012-10-26,
GAM.MC,2013-12-23,2017-06-16,
GAS.MC,2005-01-03,2017-12-18,
GRF.MC,2008-01-02,,
IAG.MC,2011-04-01,,
IBE.MC,2005-01-03,,
IBLA.MC,2005-01-03,2011-01-03,
IBR.MC,2008-02-04,2011-07-01,
IDR.MC,2005-01-03,,
ITX.MC,2005-01-03,,
JAZ.MC,2013-04-23,2015-06-22,
LOG.MC,2022-12-19,,
LOR.MC,2005-01-03,2006-07-03,
MAP.MC,2005-01-03,2005-07-08,
MAP.MC,2006-07-25,,
MAS.MC,2019-06-24,2020-06-22,
MEL.MC,2016-08-08,2024-06-24,
MRL.MC,2015-12-21,,
MTS.MC,2009-05-05,,
MVC.MC,2005-01-03,2007-05-10,
NHH.MC,2005-01-03,2005-06-28,
NHH.MC,2006-01-02,2006-01-02,
NHH.MC,2006-08-17,2007-07-02,
NTGY.MC,2018-05-09,,
OHLA.MC,2008-07-01,2015-12-21,
PHM.MC,2020-09-21,2022-12-14,
POP.MC,2005-01-03,2016-12-19,
PRS.MC,2005-01-03,2006-08-17,
PUIG.MC,2024-07-22,,
RED.MC,2022-06-13,,
REE.MC,2005-07-01,2022-06-12,
REP.MC,2005-01-03,,
ROVI.MC,2021-12-20,,
SAB.MC,2005-01-03,,
SAN.MC,2005-01-03,,
SCYR.MC,2013-10-01,2015-12-21,
SCYR.MC,2022-06-20,,
SGC.MC,2005-01-03,2008-04-13,
SGRE.MC,2017-07-24,2022-06-20,
SLR.MC,2020-10-19,,
SYV.MC,2005-01-03,2013-07-01,
TEF.MC,2005-01-03,,
TEM.MC,2005-01-03,2006-07-06,
TL5.MC,2005-01-03,2019-12-23,
TPI.MC,2005-01-03,2006-07-06,
TRE.MC,2008-04-13,2018-12-24,
UNF.MC,2005-01-03,2009-01-02,
UNI.MC,2022-12-27,,
VIS.MC,2013-01-02,2014-06-23,
VIS.MC,2016-06-21,2021-06-21,
